price,emirate,number,character
4000000,dubai,1010,o
3900000,dubai,38,Z
3900000,dubai,38,Y
3900000,dubai,38,AA
3900000,dubai,38,J
3900000,dubai,38,U
3900000,dubai,38,P
3900000,dubai,38,Q
3900000,dubai,38,R
3900000,dubai,38,N
3900000,dubai,38,I
3900000,dubai,38,H
3900000,dubai,38,BB
3900000,dubai,38,C
3900000,dubai,38,V
3900000,dubai,38,X
3900000,dubai,38,O
3900000,dubai,38,S
3900000,dubai,38,W
3900000,dubai,38,G
3900000,dubai,38,T
3900000,dubai,38,F
3900000,dubai,38,CC
3900000,dubai,38,A
3900000,dubai,38,DD
3900000,dubai,38,M
3900000,dubai,38,L
3900000,dubai,38,D
3900000,dubai,38,B
3900000,dubai,38,E
3900000,dubai,38,K
3890000,dubai,1111,X
3890000,dubai,1111,Y
3890000,dubai,1111,DD
3890000,dubai,1111,BB
3890000,dubai,1111,CC
3890000,dubai,1111,P
3890000,dubai,1111,I
3890000,dubai,1111,J
3890000,dubai,1111,K
3890000,dubai,1111,L
3890000,dubai,1111,M
3890000,dubai,1111,N
3890000,dubai,1111,O
3890000,dubai,1111,V
3890000,dubai,1111,Z
3890000,dubai,1111,A
3890000,dubai,1111,B
3890000,dubai,1111,AA
3890000,dubai,1111,C
3890000,dubai,1111,D
3890000,dubai,1111,F
3890000,dubai,1111,G
3890000,dubai,1111,H
3890000,dubai,1111,E
3890000,dubai,1111,W
3890000,dubai,1111,U
3890000,dubai,1111,T
3890000,dubai,1111,S
3890000,dubai,1111,R
3890000,dubai,1111,Q
3850000,dubai,666,H
3850000,dubai,666,J
3850000,dubai,666,D
3850000,dubai,666,K
3850000,dubai,666,N
3850000,dubai,666,A
3850000,dubai,666,R
3850000,dubai,666,S
3850000,dubai,666,T
3850000,dubai,666,Z
3850000,dubai,666,AA
3850000,dubai,666,BB
3850000,dubai,666,M
3850000,dubai,666,P
3850000,dubai,666,Q
3850000,dubai,666,U
3850000,dubai,666,V
3850000,dubai,666,E
3850000,dubai,666,B
3850000,dubai,666,CC
3850000,dubai,666,F
3850000,dubai,666,G
3850000,dubai,666,DD
3850000,dubai,666,X
3850000,dubai,666,O
3850000,dubai,666,Y
3850000,dubai,666,C
3850000,dubai,666,L
3850000,dubai,666,I
3850000,dubai,666,W
3690000,dubai,56,V
3690000,dubai,89,C
3690000,dubai,89,D
3690000,dubai,89,G
3690000,dubai,56,Z
3690000,dubai,89,AA
3690000,dubai,56,Y
3690000,dubai,56,X
3690000,dubai,56,DD
3690000,dubai,56,CC
3690000,dubai,56,S
3690000,dubai,56,D
3690000,dubai,56,U
3690000,dubai,56,R
3690000,dubai,56,Q
3690000,dubai,89,H
3690000,dubai,89,R
3690000,dubai,89,DD
3690000,dubai,56,P
3690000,dubai,89,CC
3690000,dubai,89,V
3690000,dubai,89,U
3690000,dubai,89,N
3690000,dubai,89,M
3690000,dubai,56,AA
3690000,dubai,89,BB
3690000,dubai,56,E
3690000,dubai,89,J
3690000,dubai,89,K
3690000,dubai,89,L
3690000,dubai,89,O
3690000,dubai,89,P
3690000,dubai,89,Q
3690000,dubai,89,F
3690000,dubai,89,S
3690000,dubai,89,T
3690000,dubai,89,W
3690000,dubai,89,X
3690000,dubai,89,Y
3690000,dubai,89,Z
3690000,dubai,89,I
3690000,dubai,56,K
3690000,dubai,56,J
3690000,dubai,56,I
3690000,dubai,56,H
3690000,dubai,87,d
3690000,dubai,56,W
3690000,dubai,89,A
3690000,dubai,89,E
3690000,dubai,70,e
3690000,dubai,89,B
3690000,dubai,56,F
3690000,dubai,56,G
3690000,dubai,56,L
3690000,dubai,56,BB
3690000,dubai,56,M
3690000,dubai,56,N
3690000,dubai,56,O
3690000,dubai,56,A
3690000,dubai,56,B
3690000,dubai,56,C
3690000,dubai,56,T
3675000,dubai,23,F
3675000,dubai,23,J
3675000,dubai,23,V
3675000,dubai,23,P
3675000,dubai,23,W
3675000,dubai,23,G
3675000,dubai,23,L
3675000,dubai,23,X
3675000,dubai,23,Y
3675000,dubai,23,I
3675000,dubai,23,M
3675000,dubai,23,Q
3675000,dubai,23,R
3675000,dubai,23,Z
3675000,dubai,23,N
3675000,dubai,23,O
3675000,dubai,23,A
3675000,dubai,23,B
3675000,dubai,23,K
3675000,dubai,23,BB
3675000,dubai,23,CC
3675000,dubai,23,DD
3675000,dubai,23,T
3675000,dubai,23,S
3675000,dubai,23,U
3675000,dubai,23,AA
3675000,dubai,23,E
3675000,dubai,23,D
3675000,dubai,23,C
3675000,dubai,23,H
3590000,dubai,81,s
3590000,dubai,90,t
3590000,dubai,62,o
3590000,dubai,81,t
3575000,dubai,41,V
3575000,dubai,41,DD
3575000,dubai,41,CC
3575000,dubai,41,BB
3575000,dubai,41,AA
3575000,dubai,41,Z
3575000,dubai,41,Y
3575000,dubai,41,X
3575000,dubai,41,W
3575000,dubai,41,L
3575000,dubai,41,N
3575000,dubai,41,E
3575000,dubai,41,S
3575000,dubai,41,M
3575000,dubai,41,I
3575000,dubai,41,J
3575000,dubai,41,T
3575000,dubai,41,F
3575000,dubai,41,H
3575000,dubai,41,K
3575000,dubai,41,C
