price,emirate,number,character
90000000,abu-dhabi,12603,12
38003800,dubai,31163,x
26500000,abu-dhabi,7,7
20500000,dubai,89,x
13500160,dubai,5661,u
7200000,dubai,19,x
6150000,dubai,18,g
5000000,dubai,6,a
4500000,abu-dhabi,2,5
4500000,dubai,1111,bb
4000000,dubai,1010,o
3690000,dubai,70,e
3690000,dubai,87,d
3590000,dubai,81,s
3590000,dubai,90,t
3590000,dubai,62,o
3550000,dubai,31,h
3500000,dubai,56,n
3500000,dubai,23,i
3500000,dubai,222,s
3223600,dubai,26857,o
3000000,dubai,80,x
2990000,dubai,3,z
2950000,abu-dhabi,111,10
2850000,dubai,777,f
2590000,abu-dhabi,58,5
2500000,dubai,911,y
2500000,dubai,4,b
2500000,dubai,800,w
2390000,dubai,5,v
2300000,dubai,99999,m
2300000,dubai,42,s
2200000,dubai,37,k
2200000,umm-al-quwain,9,n
2190000,dubai,8,v
2190000,dubai,61,y
2190000,dubai,83,v
2142111,abu-dhabi,10012,2
1990000,dubai,98,l
1990000,dubai,76,e
1970000,dubai,53,t
1950000,dubai,84,m
1950000,dubai,95,x
1890000,dubai,5555,d
1750000,dubai,22222,m
1720000,dubai,999,l
1690000,dubai,200,y
1690000,dubai,700,i
1600000,abu-dhabi,488,1
1590000,dubai,4444,n
1555000,dubai,25000,i
1550000,dubai,900,u
1550000,dubai,9000,u
1500000,ras-al-khaimah,77777,z
1500000,dubai,7000,x
1500000,dubai,2020,b
1490000,dubai,400,w
1490000,dubai,600,i
1350000,abu-dhabi,322,6
1300000,ras-al-khaimah,12,v
1300000,dubai,998,b
1295000,dubai,7777,g
1290000,abu-dhabi,88888,10
1250000,dubai,120,i
1200000,ras-al-khaimah,11,x
1190000,abu-dhabi,11111,12
1190000,dubai,8888,x
1150000,dubai,9999,s
1150000,dubai,808,x
1100000,dubai,786,k
1100000,abu-dhabi,2222,50
1090000,abu-dhabi,101,13
1090000,abu-dhabi,454,5
1050000,abu-dhabi,66666,16
1000000,dubai,804,k
995000,dubai,717,y
995000,abu-dhabi,990,6
990000,fujairah,1,m
985850,dubai,98585,a
980000,abu-dhabi,20000,2
950000,dubai,121,k
950000,abu-dhabi,252,2
950000,dubai,170,z
950000,abu-dhabi,550,6
950000,abu-dhabi,330,2
930000,dubai,6666,w
900000,dubai,116,z
900000,dubai,140,z
900000,abu-dhabi,17750,50
900000,dubai,599,a
900000,dubai,220,aa
899000,dubai,303,y
899000,dubai,115,f
895000,abu-dhabi,110,20
890000,abu-dhabi,155,11
890000,abu-dhabi,909,5
890000,fujairah,13,j
890000,abu-dhabi,961,1
875000,dubai,606,t
870000,dubai,151,w
865000,abu-dhabi,221,12
850000,abu-dhabi,553,5
850000,dubai,181,r
850000,abu-dhabi,201,20
850000,abu-dhabi,210,10
850000,dubai,3333,x
850000,dubai,108,x
850000,dubai,102,w
849000,dubai,10000,k
825000,dubai,880,x
820000,abu-dhabi,778,50
810000,dubai,811,z
800000,dubai,142,c
799000,abu-dhabi,143,1
799000,dubai,160,x
799000,dubai,103,w
799000,dubai,141,u
795000,abu-dhabi,505,18
795000,abu-dhabi,866,5
795000,abu-dhabi,929,5
785000,dubai,10,x
765000,abu-dhabi,128,6
765000,abu-dhabi,818,5
765000,abu-dhabi,570,50
755000,dubai,80000,q
750000,abu-dhabi,881,11
750000,dubai,190,y
750000,abu-dhabi,966,6
750000,sharjah,1993,3
750000,abu-dhabi,678,12
750000,abu-dhabi,30,5
750000,abu-dhabi,810,10
749000,dubai,70000,t
700000,dubai,440,h
700000,dubai,232,x
700000,dubai,180,t
699000,dubai,59,a
