price,duration,emirate,number,character,timestamp
37500,1 day ago,dubai,13,b,07:00.0
25000,1 day ago,dubai,25,n,07:00.1
5900,1 day ago,dubai,92,a,07:00.0
775000,1 day ago,dubai,155,r,07:00.0
775000,1 day ago,dubai,155,w,07:00.0
439000,1 day ago,dubai,642,i,07:00.0
21000,1 day ago,dubai,888,s,07:00.0
50000,1 day ago,dubai,1051,v,07:00.0
89000,1 day ago,dubai,1060,s,07:00.0
69000,1 day ago,dubai,1060,t,07:00.0
55000,1 day ago,dubai,1081,m,07:00.0
59000,1 day ago,dubai,1109,v,07:00.0
110000,1 day ago,dubai,1120,w,07:00.0
58000,1 day ago,dubai,1132,t,07:00.0
35000,1 day ago,dubai,1202,b,07:00.0
85000,1 day ago,dubai,1210,w,07:00.0
149000,1 day ago,dubai,1223,w,07:00.0
38000,1 day ago,dubai,1271,l,07:00.0
35000,1 day ago,dubai,1292,n,07:00.0
50000,1 day ago,dubai,1323,i,07:00.0
45000,1 day ago,dubai,1331,h,07:00.1
45000,1 day ago,dubai,1334,v,07:00.0
50000,1 day ago,dubai,1531,l,07:00.1
25000,1 day ago,dubai,1532,m,07:00.0
35000,1 day ago,dubai,1554,q,07:00.0
28000,1 day ago,dubai,1629,c,07:00.0
38900,1 day ago,dubai,1690,u,07:00.0
35000,1 day ago,dubai,1775,n,07:00.0
35000,1 day ago,dubai,1775,p,07:00.0
35000,1 day ago,dubai,1787,n,07:00.0
35000,1 day ago,dubai,1878,v,07:00.0
49900,1 day ago,dubai,1906,w,07:00.0
46000,1 day ago,dubai,2133,u,07:00.0
20000,1 day ago,dubai,2148,d,07:00.0
25900,1 day ago,dubai,2152,v,07:00.0
17500,1 day ago,dubai,2186,u,07:00.0
35000,1 day ago,dubai,2301,v,07:00.0
275000,1 day ago,dubai,2323,v,07:00.0
150000,1 day ago,dubai,2332,p,07:00.0
42000,1 day ago,dubai,2342,j,07:00.0
34500,1 day ago,dubai,2432,l,07:00.0
18900,1 day ago,dubai,2538,m,07:00.0
175000,1 day ago,dubai,2626,m,07:00.0
170000,1 day ago,dubai,2626,n,07:00.0
170000,1 day ago,dubai,2626,h,07:00.0
17500,1 day ago,dubai,2693,v,07:00.0
19500,1 day ago,dubai,2906,t,07:00.0
17000,1 day ago,dubai,2957,o,07:00.0
50000,1 day ago,dubai,2960,u,07:00.0
28900,1 day ago,dubai,3043,u,07:00.0
60000,1 day ago,dubai,3121,i,07:00.0
17500,1 day ago,dubai,3127,j,07:00.0
27900,1 day ago,dubai,3171,l,07:00.0
17000,1 day ago,dubai,3198,p,07:00.0
17000,1 day ago,dubai,3198,n,07:00.0
18000,1 day ago,dubai,3429,q,07:00.0
22000,1 day ago,dubai,3504,v,07:00.0
24900,1 day ago,dubai,3543,v,07:00.0
18000,1 day ago,dubai,3679,j,07:00.0
35000,1 day ago,dubai,3990,v,07:00.0
48000,1 day ago,dubai,4041,q,07:00.0
25900,1 day ago,dubai,4154,s,07:00.0
18000,1 day ago,dubai,4158,k,07:00.0
138000,1 day ago,dubai,4222,f,07:00.0
17500,1 day ago,dubai,4268,s,07:00.0
35000,1 day ago,dubai,4323,p,07:00.0
25900,1 day ago,dubai,4336,j,07:00.0
20900,1 day ago,dubai,4371,c,07:00.0
29900,1 day ago,dubai,4694,t,07:00.0
29900,1 day ago,dubai,4694,q,07:00.0
29900,1 day ago,dubai,4694,u,07:00.0
27900,1 day ago,dubai,4724,c,07:00.0
24900,1 day ago,dubai,4743,k,07:00.0
22000,1 day ago,dubai,4830,m,07:00.0
17000,1 day ago,dubai,4851,l,07:00.0
17000,1 day ago,dubai,4851,r,07:00.0
30000,1 day ago,dubai,4977,m,07:00.0
30000,1 day ago,dubai,4977,n,07:00.0
18500,1 day ago,dubai,5031,r,07:00.0
20500,1 day ago,dubai,5108,s,07:00.0
25900,1 day ago,dubai,5125,v,07:00.0
26900,1 day ago,dubai,5274,b,07:00.0
26500,1 day ago,dubai,5295,j,07:00.1
16500,1 day ago,dubai,5298,h,07:00.0
18000,1 day ago,dubai,5326,i,07:00.0
35000,1 day ago,dubai,5343,r,07:00.0
18500,1 day ago,dubai,5360,p,07:00.0
29900,1 day ago,dubai,5450,v,07:00.0
24900,1 day ago,dubai,5465,r,07:00.0
175000,1 day ago,dubai,5505,r,07:00.0
17000,1 day ago,dubai,5632,l,07:00.0
18900,1 day ago,dubai,5781,h,07:00.0
18900,1 day ago,dubai,5781,f,07:00.0
21000,1 day ago,dubai,5803,e,07:00.0
17500,1 day ago,dubai,5862,i,07:00.0
20500,1 day ago,dubai,6071,f,07:00.0
17500,1 day ago,dubai,6124,o,07:00.0
18500,1 day ago,dubai,6134,m,07:00.0
25900,1 day ago,dubai,6176,s,07:00.0
27900,1 day ago,dubai,6218,b,07:00.0
18000,1 day ago,dubai,6240,l,07:00.0
17500,1 day ago,dubai,6247,j,07:00.0
18500,1 day ago,dubai,6409,p,07:00.0
46000,1 day ago,dubai,6610,u,07:00.0
155000,1 day ago,dubai,6667,p,07:00.0
29900,1 day ago,dubai,6760,u,07:00.0
19500,1 day ago,dubai,6873,i,07:00.0
25900,1 day ago,dubai,6956,s,07:00.0
68000,1 day ago,dubai,7010,t,07:00.0
21000,1 day ago,dubai,7038,m,07:00.0
22000,1 day ago,dubai,7108,u,07:00.0
26900,1 day ago,dubai,7180,v,07:00.0
16500,1 day ago,dubai,7329,n,07:00.0
35000,1 day ago,dubai,7570,p,07:00.0
35900,1 day ago,dubai,7656,i,07:00.0
35000,1 day ago,dubai,7730,p,07:00.0
229000,1 day ago,dubai,7774,b,07:00.0
79000,1 day ago,dubai,7786,l,07:00.0
35000,1 day ago,dubai,7807,o,07:00.0
45000,1 day ago,dubai,7863,m,07:00.0
50000,1 day ago,dubai,7865,c,07:00.0
22900,1 day ago,dubai,7957,k,07:00.0
35900,1 day ago,dubai,8022,l,07:00.0
30000,1 day ago,dubai,8069,v,07:00.0
17500,1 day ago,dubai,8163,u,07:00.0
24900,1 day ago,dubai,8262,k,07:00.0
30000,1 day ago,dubai,8511,v,07:00.0
30000,1 day ago,dubai,8611,v,07:00.0
17000,1 day ago,dubai,8615,q,07:00.0
40000,1 day ago,dubai,8820,v,07:00.0
35000,1 day ago,dubai,8908,t,07:00.0
22900,1 day ago,dubai,8958,j,07:00.0
20000,1 day ago,dubai,8960,t,07:00.0
85000,1 day ago,dubai,9116,e,07:00.0
29000,1 day ago,dubai,9120,q,07:00.0
29000,1 day ago,dubai,9120,u,07:00.0
29000,1 day ago,dubai,9120,t,07:00.0
18900,1 day ago,dubai,9126,u,07:00.0
40000,1 day ago,dubai,9220,e,07:00.0
40000,1 day ago,dubai,9220,n,07:00.0
17500,1 day ago,dubai,9362,l,07:00.0
36000,1 day ago,dubai,9392,q,07:00.0
23900,1 day ago,dubai,9469,i,07:00.0
30000,1 day ago,dubai,9498,m,07:00.0
17500,1 day ago,dubai,9513,o,07:00.0
60000,1 day ago,dubai,9786,b,07:00.0
36000,1 day ago,dubai,10020,u,07:00.0
29900,1 day ago,dubai,10022,q,07:00.0
34900,1 day ago,dubai,10102,v,07:00.0
18000,1 day ago,dubai,10117,f,07:00.0
18000,1 day ago,dubai,10117,m,07:00.0
25000,1 day ago,dubai,10212,d,07:00.0
18500,1 day ago,dubai,10220,q,07:00.0
20000,1 day ago,dubai,10230,y,07:00.0
18000,1 day ago,dubai,10230,t,07:00.0
16500,1 day ago,dubai,10551,aa,07:00.0
14500,1 day ago,dubai,10711,l,07:00.0
18000,1 day ago,dubai,10811,z,07:00.0
6500,1 day ago,dubai,10904,l,07:00.0
25000,1 day ago,dubai,10911,aa,07:00.0
24500,1 day ago,dubai,11012,q,07:00.0
35000,1 day ago,dubai,11077,v,07:00.0
22900,1 day ago,dubai,11194,l,07:00.0
34000,1 day ago,dubai,11200,u,07:00.0
14500,1 day ago,dubai,11201,l,07:00.0
34000,1 day ago,dubai,11220,p,07:00.0
16500,1 day ago,dubai,11229,l,07:00.0
19500,1 day ago,dubai,11330,u,07:00.0
19500,1 day ago,dubai,11330,q,07:00.0
16000,1 day ago,dubai,11330,v,07:00.0
5000,1 day ago,dubai,11564,x,07:00.1
5800,1 day ago,dubai,11614,q,07:00.0
11500,1 day ago,dubai,11660,v,07:00.1
6500,1 day ago,dubai,11712,t,07:00.0
12000,1 day ago,dubai,11722,u,07:00.0
10500,1 day ago,dubai,11819,z,07:00.0
13000,1 day ago,dubai,11966,h,07:00.0
13500,1 day ago,dubai,11983,d,07:00.0
28500,1 day ago,dubai,12020,q,07:00.0
6200,1 day ago,dubai,12141,p,07:00.0
32000,1 day ago,dubai,12200,q,07:00.0
15500,1 day ago,dubai,12305,q,07:00.0
8500,1 day ago,dubai,12327,q,07:00.0
32900,1 day ago,dubai,12342,v,07:00.0
62000,1 day ago,dubai,12344,u,07:00.0
14500,1 day ago,dubai,12350,j,07:00.0
8000,1 day ago,dubai,12351,l,07:00.0
12000,1 day ago,dubai,12393,x,07:00.0
13900,1 day ago,dubai,12433,aa,07:00.0
19500,1 day ago,dubai,12477,a,07:00.0
3800,1 day ago,dubai,12515,p,07:00.0
12000,1 day ago,dubai,13110,y,07:00.0
15500,1 day ago,dubai,13132,p,07:00.0
11500,1 day ago,dubai,13136,l,07:00.0
13000,1 day ago,dubai,13161,bb,07:00.0
13000,1 day ago,dubai,13161,g,07:00.0
25000,1 day ago,dubai,13332,q,07:00.0
5500,1 day ago,dubai,13833,h,07:00.0
19000,1 day ago,dubai,13863,a,07:00.0
19000,1 day ago,dubai,13870,a,07:00.0
32000,1 day ago,dubai,13911,a,07:00.0
14000,1 day ago,dubai,14101,m,07:00.0
22000,1 day ago,dubai,14131,b,07:00.0
14500,1 day ago,dubai,15161,v,07:00.0
12000,1 day ago,dubai,15415,m,07:00.0
6500,1 day ago,dubai,15915,o,07:00.0
9900,1 day ago,dubai,16565,v,07:00.0
36000,1 day ago,dubai,16611,n,07:00.0
28000,1 day ago,dubai,16663,g,07:00.0
12500,1 day ago,dubai,17161,u,07:00.0
5000,1 day ago,dubai,17637,b,07:00.0
7500,1 day ago,dubai,18070,z,07:00.0
5800,1 day ago,dubai,18114,k,07:00.0
7500,1 day ago,dubai,18117,k,07:00.0
34900,1 day ago,dubai,18333,b,07:00.0
12000,1 day ago,dubai,18600,m,07:00.0
6900,1 day ago,dubai,18611,d,07:00.0
4800,1 day ago,dubai,18821,x,07:00.0
18000,1 day ago,dubai,19110,bb,07:00.0
6900,1 day ago,dubai,19114,y,07:00.0
7500,1 day ago,dubai,19219,l,07:00.0
3300,1 day ago,dubai,19489,b,07:00.0
6500,1 day ago,dubai,19619,q,07:00.0
2999,1 day ago,dubai,19742,t,07:00.0
10000,1 day ago,dubai,19809,f,07:00.0
22000,1 day ago,dubai,19811,a,07:00.0
10000,1 day ago,dubai,19818,b,07:00.0
9500,1 day ago,dubai,19821,f,07:00.0
14500,1 day ago,dubai,19830,z,07:00.0
13500,1 day ago,dubai,19850,r,07:00.0
13500,1 day ago,dubai,19850,b,07:00.0
15500,1 day ago,dubai,19890,x,07:00.0
8500,1 day ago,dubai,19902,u,07:00.0
7500,1 day ago,dubai,19905,u,07:00.0
8500,1 day ago,dubai,19917,q,07:00.0
12000,1 day ago,dubai,19921,v,07:00.0
17000,1 day ago,dubai,19951,v,07:00.0
16500,1 day ago,dubai,19955,e,07:00.0
16500,1 day ago,dubai,19970,r,07:00.0
29900,1 day ago,dubai,20011,p,07:00.0
24500,1 day ago,dubai,20021,v,07:00.0
5500,1 day ago,dubai,20058,z,07:00.0
18000,1 day ago,dubai,20061,a,07:00.0
