price,duration,emirate,number,character,timestamp,value_of_X,number_of_X,value_of_Y,number_of_Y,pattern,number_of_zeros,number_of_digits,isYear,isPalindrome,isMemeNumber,containsMemeNumber,isCarModel,containsSeries,isFullSeries,random
2990,8 months ago,dubai,65546,j,07:00.0,5,2,6,2,YXX_Y,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.918346279
5900,2 weeks ago,dubai,66561,x,07:00.0,6,3,1,1,XX_X_,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.498588669
9900,8 months ago,dubai,20204,r,07:00.0,2,2,4,1,X0X0_,2,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.73658536
2500000,1 month ago,dubai,800,w,07:00.0,8,1,,0,_00,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.297253414
32900,1 day ago,dubai,12342,v,07:00.0,2,2,1,1,_X__X,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.800726753
5900,2 weeks ago,dubai,52251,u,07:00.0,2,2,5,2,YXXY_,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.820169046
4900,2 weeks ago,dubai,22383,p,07:00.0,2,2,3,2,XXY_Y,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.731832965
69000,,dubai,1030,C,07:00.0,1,1,3,1,_0_0,2,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.867648751
16900,2 days ago,dubai,6289,o,07:00.0,2,1,6,1,____,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.486993721
55500,,dubai,4880,Q,07:00.0,8,2,4,1,_XX0,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.513202973
4900,2 weeks ago,dubai,33848,q,07:00.0,3,2,8,2,XXY_Y,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.018790993
4900,2 weeks ago,dubai,66568,x,07:00.0,6,3,5,1,XX_X_,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.161437809
8900,2 weeks ago,dubai,21944,f,07:00.0,4,2,1,1,___XX,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.918633278
33000,3 months ago,dubai,3430,o,07:00.0,3,2,4,1,X_X0,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.547953744
3900,,dubai,34506,B,07:00.0,3,1,4,1,___0_,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.031411074
9300,5 months ago,dubai,99558,h,07:00.0,5,2,9,2,YYXX_,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.787483771
10000,,dubai,17774,W,07:00.1,7,3,1,1,_XXX_,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.727143019
7000,6 months ago,dubai,99404,r,07:00.0,4,2,9,2,YYX0X,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.740028823
37000,11 months ago,dubai,12212,t,07:00.0,2,3,1,2,YXXYX,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.158840381
15900,7 months ago,dubai,3890,m,07:00.0,3,1,8,1,___0,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.934025757
160000,,dubai,11911,I,07:00.0,1,4,9,1,XX_XX,0,5,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0.059009919
16500,1 month ago,dubai,31021,a,07:00.0,1,2,2,1,_X0_X,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.5144321
6000,,dubai,30970,V,07:00.0,3,1,7,1,_0__0,2,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.737328164
100000,,dubai,77747,S,07:00.1,7,4,4,1,XXX_X,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.699984168
4900,2 weeks ago,dubai,41644,x,07:00.0,4,3,1,1,X__XX,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.534699815
18000,,dubai,1195,H,07:00.1,1,2,5,1,XX__,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.093830292
8300,,dubai,30555,Q,07:00.1,5,3,3,1,_0XXX,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.924517062
42900,2 months ago,dubai,1236,t,07:00.0,1,1,2,1,____,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.379105399
9500,1 week ago,dubai,46200,h,07:00.0,2,1,4,1,___00,2,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.354662662
8500,,dubai,55881,J,07:00.0,5,2,8,2,XXYY_,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.01660882
95000,2 days ago,dubai,1232,k,07:00.0,2,2,1,1,_X_X,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.068542526
4000,3 months ago,dubai,44704,x,07:00.0,4,3,7,1,XX_0X,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.557964516
7500,,dubai,81681,BB,07:00.0,1,2,8,2,YX_YX,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.46842708
55000,,dubai,4404,I,07:00.1,4,3,,0,XX0X,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.694988926
