Actual Price,Predicted Price
25000,18554.61
8000,9362.556
2500,2961.4575
5000,7667.1733
78000,79872.766
65000,53162.5
4500,200.23466
15000,15757.804
5000,4881.2407
3800,7158.973
15500,4713.542
810000,695783.7
7500,7376.4355
10000,9896.184
5900,5255.7656
8500,10970.712
15000,17346.832
10000,10689.504
17900,17944.549
6500,12769.712
25000,18980.959
250000,259636.58
595000,598642.56
8500,17597.621
59000,91908.05
8500,8275.098
88000,92667.29
60000,40297.867
15000,5228.2593
42000,31475.053
3500,5208.6235
16000,19206.586
14700,15326.239
4900,2816.7842
32000,29185.574
16925,18318.79
36000,37290.33
3500,3066.5122
40000,9845.373
39000,38783.277
10900,14101.973
3000,5354.1846
55000,26982.727
19500,20896.13
6900,7429.157
700000,551892.75
62000,61445.91
6500,10844.023
9900,4327.475
735000,719729.5
23900,46902.582
13000,6258.9614
5000,10770.62
13700,20497.629
19900,22316.072
36000,35151.426
9000,6347.533
735000,687672.0
15500,39606.895
4900,4842.6846
24900,20198.78
27000,16032.995
16900,16910.936
18000,9404.127
14000,14261.62
16500,16227.893
21500,20594.76
5500,12120.852
8000,25104.72
5800,9075.265
11900,17511.11
10000,20929.12
14500,15856.058
8900,27408.268
3200,5187.556
11000,9292.979
5000,5489.0293
469000,517761.62
1800,65575.586
4900,4813.1226
19000,21201.266
6500,6917.3
6500,13686.9795
3000,3153.2842
9500,14087.358
2500,24025.432
17500,5144.634
2800,4327.0664
6500,7818.666
7500,11308.572
3500,7657.0737
7000,16393.8
10000,9448.969
3900,7352.069
26000,24914.129
3000,2913.12
17000,5231.4985
5500,6877.7944
8800,11915.854
6500,7722.5635
15000,5342.7114
17500,15109.573
3700,3709.852
12000,12134.504
3200,3521.4253
3700,3914.5376
9500,6130.1675
44900,63063.53
119000,131057.1
7500,5196.376
14900,16592.7
14500,17687.105
7000,7550.38
260000,259814.36
4900,8200.902
2600,6396.9077
38900,40774.42
129000,395480.28
19000,13810.434
18900,20527.123
3200,2256.7363
140000,138352.61
29000,18083.36
27900,38209.56
5500,3909.8562
35000,44879.99
120000,147492.4
26900,23367.346
18000,18200.887
450000,331976.62
40000,13107.389
5500,5754.217
8000,9107.643
735000,737484.8
140000,249932.44
10000,4909.2656
7500,7247.7026
6500,6872.2183
275000,280241.4
9900,10087.704
39500,17572.469
4900,4995.0947
209000,138915.69
50000,26319.953
13900,12517.023
495000,699885.7
7400,6330.4917
12500,8607.132
3500,7061.564
20000,25102.127
6500,12965.035
17000,16745.98
5800,6010.9346
4900,4480.4863
29000,16889.537
9900,8074.2974
23900,23647.602
4900,4297.209
9500,9094.126
75000,82478.97
36000,32608.36
4900,7166.183
4900,5015.0376
27500,25132.846
6500,6256.7793
17000,7030.8945
11500,11460.059
12000,5966.8994
20500,19970.436
3000,6613.9097
26900,38747.242
17500,18794.799
7000,4345.6987
8500,8924.8955
3300,4176.9
123900,140626.47
4000,6351.1567
12000,10478.771
39900,39028.836
69000,67665.58
27000,19555.385
335000,346134.6
5500,5392.8687
46000,41521.51
36000,36228.496
16900,16733.412
27900,27914.043
17000,13167.059
21000,18695.504
33000,46206.72
179000,183496.03
39900,39665.215
39000,24851.041
21500,23853.604
39000,33057.63
56000,54637.69
18000,18259.053
8900,10793.192
3675000,3755014.8
2800,12079.314
3990,8839.452
735000,715647.8
4200,4914.057
50000,33546.566
4900,4036.2117
2900,4693.4155
8500,7428.5215
9500,8343.644
5900,5983.786
5500,3214.466
13900,10398.453
55000,44982.09
19900,19819.822
18500,21218.34
25000,36967.62
5500,4501.2764
54000,53135.44
699000,555433.56
6500,6769.239
16500,9131.466
6000,5705.921
2900,4918.8516
25500,44673.785
950000,503591.84
3000,3733.3162
25500,22480.195
35000,35017.883
175000,172162.31
8000,4752.0845
4000,6095.9473
18500,17431.434
4900,4882.9746
2500,10290.441
38000,34295.656
4900,5127.209
90000,11793.37
8000,7685.438
3500,5345.9814
7900,23699.049
105000,100161.23
35500,30693.58
520000,562923.0
67000,65226.688
7900,11598.792
2900,5006.498
2600,4082.0603
5500,4940.342
3500,4681.4683
5000,6939.01
10000,7590.4214
870000,772377.94
139900,149824.73
145000,142375.83
560000,561386.25
55000,55188.6
33900,78230.414
260000,260176.84
339000,419464.84
19900,16924.578
55000,36967.62
23900,24753.682
3600000,3600113.0
15900,20366.232
80000,32399.186
3500,3404.1814
3900,3912.9707
83000,88201.16
14000,14031.356
17000,7061.8906
62000,59167.527
16000,16011.505
37900,36812.23
45900,34734.76
4500,7010.17
10000,14668.422
590000,588515.75
590000,591407.4
155000,197902.7
32500,31858.307
105000,125750.9
7900,13668.102
18000,21986.42
270000,240603.78
14000,8560.737
8000,6735.8335
500000,687473.2
4900,11916.145
3300,4902.393
24500,26948.531
20000,19169.547
8000,7458.852
3900,9284.824
14900,15812.632
12000,3126.103
7900,8477.374
85000,17750.467
22000,21337.168
35900,20094.828
7000,6968.04
200000,21523.611
260000,260560.77
15000,10894.054
4900,4898.776
16000,15774.624
8000,78535.79
13900,16494.17
4200,7389.2676
4900,3800.7224
2800,2510.494
25000,17794.037
10500,12121.039
489000,357594.72
550000,410727.72
2095000,2096563.4
11900,13132.276
6840,8931.656
14500,14325.374
12000,7561.788
