Actual Price,Predicted Price
25000,25927.545
8000,2843.9387
2500,4523.2544
5000,4999.9917
78000,85955.875
65000,73638.164
4500,4500.112
15000,2662.9094
5000,6609.1157
3800,13916.606
15500,1620.5825
810000,1010620.8
7500,7999.068
10000,10000.994
5900,6820.5044
8500,5899.9014
15000,16346.672
10000,10574.645
17900,36784.48
6500,11890.655
25000,21673.582
250000,207742.95
595000,594998.3
8500,2805.692
59000,279944.03
8500,7216.657
88000,93295.266
60000,16699.21
15000,5399.802
42000,34499.92
3500,10749.005
16000,27103.578
14700,14700.722
4900,6899.873
32000,32486.014
16925,13590.377
36000,49497.844
3500,3217.0437
40000,-1760.9265
39000,38999.734
10900,13149.953
3000,15877.756
55000,36709.926
19500,19499.658
6900,5999.9893
700000,699999.5
62000,62000.52
6500,7577.224
9900,8593.398
735000,711749.6
23900,52178.5
13000,7685.6562
5000,7801.278
13700,7820.0015
19900,27770.518
36000,36000.01
9000,9603.3955
735000,704000.2
15500,59360.39
4900,8449.956
24900,2486.6743
27000,15500.53
16900,16899.953
18000,7138.1753
14000,13999.662
16500,16503.111
21500,20382.73
5500,6499.988
8000,5000.137
5800,3234.4788
11900,11899.971
10000,14625.704
14500,14720.093
8900,8538.984
3200,3200.496
11000,11484.43
5000,-4469.7725
469000,484800.88
1800,11666.644
4900,4899.9453
19000,-1467.53
6500,9055.288
6500,28932.65
3000,5675.035
9500,3433.481
2500,33566.63
17500,4899.9585
2800,6149.962
6500,7655.7876
7500,15491.781
3500,19000.14
7000,10619.262
10000,10966.565
3900,3903.0583
26000,34183.82
3000,-4855.3
17000,6502.864
5500,3900.1824
8800,14897.803
6500,10699.88
15000,6037.06
17500,15237.365
3700,373.50327
12000,3780.7002
3200,3201.2444
3700,3950.0396
9500,4914.4824
44900,48395.36
119000,324777.72
7500,14215.719
14900,14900.496
14500,17866.643
7000,7000.035
260000,259999.98
4900,13855.489
2600,3613.2805
38900,38899.55
129000,177701.27
19000,2300.5286
18900,18900.094
3200,3200.009
140000,142395.08
29000,17960.006
27900,33200.1
5500,7599.9375
35000,54239.3
120000,327274.25
26900,16158.589
18000,12867.782
450000,415050.53
40000,9378.837
5500,5499.9146
8000,14619.745
735000,734999.9
140000,140000.44
10000,5374.9985
7500,7500.004
6500,10369.563
275000,267291.03
9900,9500.135
39500,18352.635
4900,6299.9897
209000,188558.88
50000,21000.014
13900,11585.714
495000,699965.4
7400,3200.0696
12500,6000.3145
3500,10359.957
20000,16937.686
6500,10979.275
17000,17446.46
5800,5800.0864
4900,4899.9775
29000,16900.434
9900,9899.944
23900,25762.203
4900,5899.9
9500,9209.165
75000,61985.47
36000,35999.906
4900,5950.3613
4900,5699.494
27500,23606.621
6500,5749.721
17000,6999.9785
11500,11499.975
12000,25430.482
20500,20355.152
3000,2999.9092
26900,53720.555
17500,16450.031
7000,6399.912
8500,8499.777
3300,4801.868
123900,173047.94
4000,5933.261
12000,11998.812
39900,39902.094
69000,68999.79
27000,20929.982
335000,298500.16
5500,7250.0103
46000,42499.957
36000,36315.812
16900,16900.064
27900,29507.06
17000,12631.594
21000,20999.734
33000,41330.902
179000,146488.44
39900,35973.32
39000,19013.104
21500,20165.717
39000,35478.56
56000,51720.445
18000,16113.633
8900,14761.075
3675000,3674999.2
2800,14499.624
3990,4036.382
735000,734999.94
4200,4199.3037
50000,40641.168
4900,-1727.911
2900,1742.5906
8500,12003.984
9500,2499.884
5900,9347.972
5500,14168.373
13900,15137.854
55000,149000.03
19900,4492.9565
18500,20865.078
25000,28147.896
5500,12042.168
54000,50418.047
699000,492999.28
6500,8000.263
16500,8698.582
6000,10999.589
2900,6173.5186
25500,50918.277
950000,950000.44
3000,6604.294
25500,25499.758
35000,34999.99
175000,174999.86
8000,4900.0605
4000,7575.8286
18500,8137.208
4900,4900.003
2500,8100.0024
38000,33999.305
4900,5016.545
90000,7284.747
8000,8000.1357
3500,9199.141
7900,6499.713
105000,139966.19
35500,45900.074
520000,475126.28
67000,69999.98
7900,5197.135
2900,9141.985
2600,2990.031
5500,5109.453
3500,4492.959
5000,3526.5044
10000,12499.896
870000,973032.94
139900,161090.4
145000,132447.25
560000,560000.1
55000,67599.99
33900,44507.27
260000,259999.98
339000,353514.2
19900,19198.654
55000,28147.896
23900,25029.271
3600000,3744992.8
15900,33408.63
80000,29698.459
3500,5257.887
3900,3900.0398
83000,33000.293
14000,14002.31
17000,7890.2314
62000,61999.875
16000,16499.994
37900,37900.047
45900,38966.72
4500,6590.4287
10000,14188.785
590000,589999.9
590000,590000.06
155000,129718.96
32500,28125.879
105000,110290.55
7900,21418.871
18000,29224.617
270000,139966.19
14000,13201.527
8000,8304.779
500000,670657.8
4900,4000.0186
3300,9888.17
24500,34334.06
20000,3338.37
8000,7499.911
3900,8000.0044
14900,14900.008
12000,10234.216
7900,2662.9094
85000,50949.926
22000,22000.014
35900,21899.873
7000,6499.988
200000,26996.873
260000,260000.05
15000,6149.948
